G,simulation,correlation,distance
0.1000,1,-0.013811,0.272885
0.2000,1,0.117960,0.267751
0.3000,1,0.142568,0.264550
0.4000,1,0.178106,0.253977
0.5000,1,0.230391,0.245039
0.6000,1,0.302773,0.243395
0.7000,1,0.231872,0.238533
0.8000,1,0.274727,0.256604
0.9000,1,0.238240,0.262537
1.0000,1,0.280542,0.249577
2.0000,1,0.214052,0.252459
3.0000,1,0.172010,0.302475
4.0000,1,0.091394,0.487974
5.0000,1,0.109376,0.451259
10.0000,1,0.083979,0.511514
15.0000,1,0.058257,0.745001
20.0000,1,0.067277,0.792017
25.0000,1,-0.011818,0.790258
30.0000,1,-0.035625,0.730951
0.1000,2,-0.001889,0.274060
0.2000,2,0.064133,0.267992
0.3000,2,0.189043,0.262590
0.4000,2,0.198719,0.249438
0.5000,2,0.263224,0.241106
0.6000,2,0.204089,0.229657
0.7000,2,0.250606,0.232918
0.8000,2,0.229104,0.233073
0.9000,2,0.299947,0.230706
1.0000,2,0.253121,0.242792
2.0000,2,0.203217,0.249937
3.0000,2,0.163612,0.268937
4.0000,2,0.203393,0.337956
5.0000,2,0.154954,0.379752
10.0000,2,0.098159,0.606511
15.0000,2,-0.004068,0.722238
20.0000,2,-0.058574,0.743656
25.0000,2,-0.058273,0.739674
30.0000,2,-0.057772,0.779218
0.1000,3,0.039810,0.273393
0.2000,3,0.070127,0.269383
0.3000,3,0.145498,0.259988
0.4000,3,0.225055,0.247569
0.5000,3,0.261197,0.232970
0.6000,3,0.231752,0.234829
0.7000,3,0.353494,0.222584
0.8000,3,0.245511,0.229361
0.9000,3,0.315824,0.248287
1.0000,3,0.231781,0.245830
2.0000,3,0.248100,0.226370
3.0000,3,0.118203,0.418560
4.0000,3,0.029963,0.619094
5.0000,3,0.125773,0.392211
10.0000,3,0.060453,0.491958
15.0000,3,0.063199,0.614745
20.0000,3,0.014284,0.781684
25.0000,3,-0.078446,0.772097
30.0000,3,-0.057359,0.760335
0.1000,4,0.011487,0.272850
0.2000,4,0.096170,0.269781
0.3000,4,0.152488,0.258653
0.4000,4,0.172254,0.252541
0.5000,4,0.284138,0.242853
0.6000,4,0.197378,0.231639
0.7000,4,0.231708,0.233023
0.8000,4,0.242609,0.229024
0.9000,4,0.264014,0.226161
1.0000,4,0.260143,0.255591
2.0000,4,0.279214,0.224779
3.0000,4,0.117638,0.372749
4.0000,4,0.155264,0.381087
5.0000,4,0.115012,0.441102
10.0000,4,0.017051,0.555660
15.0000,4,0.039991,0.721333
20.0000,4,-0.043286,0.764797
25.0000,4,-0.065645,0.756417
30.0000,4,-0.051651,0.780887
0.1000,5,0.027701,0.274167
0.2000,5,0.079498,0.269097
0.3000,5,0.143433,0.262736
0.4000,5,0.166053,0.251971
0.5000,5,0.240248,0.238044
0.6000,5,0.210740,0.222307
0.7000,5,0.279591,0.219357
0.8000,5,0.305793,0.228773
0.9000,5,0.338362,0.223137
1.0000,5,0.227952,0.263951
2.0000,5,0.111723,0.292743
3.0000,5,0.130768,0.320542
4.0000,5,0.175552,0.317446
5.0000,5,0.023356,0.577832
10.0000,5,0.032234,0.530745
15.0000,5,-0.024549,0.761064
20.0000,5,-0.036155,0.753891
25.0000,5,-0.044649,0.779883
30.0000,5,-0.061975,0.752755
0.1000,6,0.015853,0.273044
0.2000,6,0.103915,0.267341
0.3000,6,0.163311,0.263184
0.4000,6,0.206129,0.244515
0.5000,6,0.193668,0.236962
0.6000,6,0.266999,0.227944
0.7000,6,0.189018,0.232763
0.8000,6,0.233626,0.236078
0.9000,6,0.254932,0.230909
1.0000,6,0.249786,0.238886
2.0000,6,0.166186,0.273151
3.0000,6,0.144105,0.357611
4.0000,6,0.066522,0.459953
5.0000,6,0.074834,0.392411
10.0000,6,0.080789,0.503088
15.0000,6,-0.033368,0.770752
20.0000,6,0.025120,0.793501
25.0000,6,-0.060051,0.746754
30.0000,6,-0.036860,0.753252
0.1000,7,0.015145,0.272952
0.2000,7,0.065012,0.271536
0.3000,7,0.177466,0.260455
0.4000,7,0.219088,0.248914
0.5000,7,0.246718,0.240592
0.6000,7,0.235459,0.233087
0.7000,7,0.292254,0.232920
0.8000,7,0.246146,0.236669
0.9000,7,0.257985,0.228143
1.0000,7,0.315924,0.239550
2.0000,7,0.171627,0.249297
3.0000,7,0.067258,0.436193
4.0000,7,0.243898,0.326097
5.0000,7,0.161854,0.391314
10.0000,7,0.063261,0.504198
15.0000,7,0.012559,0.730504
20.0000,7,-0.015925,0.779457
25.0000,7,-0.031634,0.556282
30.0000,7,-0.084044,0.785351
0.1000,8,0.052729,0.269982
0.2000,8,0.110046,0.267327
0.3000,8,0.140564,0.261315
0.4000,8,0.196503,0.249294
0.5000,8,0.192371,0.237319
0.6000,8,0.255850,0.231095
0.7000,8,0.236885,0.230739
0.8000,8,0.272443,0.228393
0.9000,8,0.256600,0.248494
1.0000,8,0.287005,0.247092
2.0000,8,0.256984,0.236002
3.0000,8,0.047886,0.438169
4.0000,8,0.166251,0.430028
5.0000,8,0.090519,0.419835
10.0000,8,0.080780,0.491668
15.0000,8,-0.046389,0.763902
20.0000,8,-0.039785,0.764807
25.0000,8,-0.059681,0.720724
30.0000,8,-0.048785,0.770518
0.1000,9,0.014072,0.272574
0.2000,9,0.086238,0.267497
0.3000,9,0.162944,0.261227
0.4000,9,0.221016,0.253472
0.5000,9,0.212758,0.234957
0.6000,9,0.301240,0.235808
0.7000,9,0.280256,0.237914
0.8000,9,0.171761,0.242720
0.9000,9,0.205761,0.242965
1.0000,9,0.274072,0.248558
2.0000,9,0.206146,0.293133
3.0000,9,0.054916,0.524389
4.0000,9,0.153341,0.357855
5.0000,9,0.168045,0.320218
10.0000,9,0.057969,0.510418
15.0000,9,0.072325,0.738043
20.0000,9,0.055505,0.778263
25.0000,9,-0.064393,0.772294
30.0000,9,-0.011999,0.672156
0.1000,10,0.027858,0.273684
0.2000,10,0.142665,0.266695
0.3000,10,0.146001,0.263193
0.4000,10,0.202407,0.249000
0.5000,10,0.244725,0.235464
0.6000,10,0.205302,0.225784
0.7000,10,0.254001,0.235878
0.8000,10,0.254640,0.256536
0.9000,10,0.216853,0.241774
1.0000,10,0.287115,0.250765
2.0000,10,0.164053,0.285065
3.0000,10,0.182274,0.351235
4.0000,10,0.088535,0.419330
5.0000,10,0.005974,0.570961
10.0000,10,0.064419,0.523338
15.0000,10,-0.018620,0.737639
20.0000,10,-0.043530,0.748452
25.0000,10,-0.016194,0.600249
30.0000,10,-0.061433,0.755170
