G,simulation,correlation,distance
0.1000,1,0.041185,0.239759
0.2000,1,0.094855,0.236824
0.3000,1,0.182424,0.232100
0.4000,1,0.257437,0.218383
0.5000,1,0.240788,0.212288
0.6000,1,0.303512,0.207734
0.7000,1,0.273083,0.215749
0.8000,1,0.286420,0.209871
0.9000,1,0.265470,0.222562
1.0000,1,0.246422,0.233437
2.0000,1,0.247776,0.244883
3.0000,1,0.213254,0.351331
4.0000,1,0.165273,0.402244
5.0000,1,0.058896,0.646647
10.0000,1,0.219122,0.442940
15.0000,1,0.020902,0.766611
20.0000,1,0.024970,0.783555
25.0000,1,-0.020643,0.795715
30.0000,1,-0.002007,0.827404
0.1000,2,-0.004240,0.242384
0.2000,2,0.090676,0.237252
0.3000,2,0.188942,0.230934
0.4000,2,0.207954,0.225355
0.5000,2,0.252774,0.210783
0.6000,2,0.259294,0.209976
0.7000,2,0.238531,0.225740
0.8000,2,0.291711,0.209543
0.9000,2,0.312120,0.202092
1.0000,2,0.305676,0.229634
2.0000,2,0.288372,0.228942
3.0000,2,0.263950,0.374259
4.0000,2,0.282614,0.332078
5.0000,2,0.193547,0.469163
10.0000,2,0.124036,0.543727
15.0000,2,0.066111,0.779723
20.0000,2,0.035486,0.810244
25.0000,2,0.022454,0.815690
30.0000,2,0.015300,0.782306
0.1000,3,-0.008838,0.240926
0.2000,3,0.085695,0.238177
0.3000,3,0.161606,0.227965
0.4000,3,0.292300,0.216424
0.5000,3,0.281514,0.209021
0.6000,3,0.248409,0.211779
0.7000,3,0.263511,0.210011
0.8000,3,0.299822,0.219554
0.9000,3,0.297497,0.209443
1.0000,3,0.369677,0.221635
2.0000,3,0.241698,0.286860
3.0000,3,0.164837,0.395358
4.0000,3,0.222696,0.364483
5.0000,3,0.125721,0.470390
10.0000,3,0.149008,0.599391
15.0000,3,0.046048,0.782128
20.0000,3,0.010148,0.787022
25.0000,3,0.015148,0.806990
30.0000,3,0.004723,0.829038
0.1000,4,0.012169,0.243036
0.2000,4,0.080338,0.236919
0.3000,4,0.168834,0.232420
0.4000,4,0.196518,0.220147
0.5000,4,0.244392,0.208990
0.6000,4,0.238446,0.202781
0.7000,4,0.328531,0.207976
0.8000,4,0.278779,0.202930
0.9000,4,0.303115,0.210263
1.0000,4,0.316273,0.230978
2.0000,4,0.273131,0.241061
3.0000,4,0.148101,0.357847
4.0000,4,0.153763,0.396239
5.0000,4,0.173369,0.375470
10.0000,4,0.167318,0.549385
15.0000,4,0.036041,0.802311
20.0000,4,0.021205,0.775590
25.0000,4,0.020120,0.789250
30.0000,4,0.017426,0.823872
0.1000,5,0.022156,0.241110
0.2000,5,0.113972,0.238784
0.3000,5,0.151962,0.232125
0.4000,5,0.245319,0.216184
0.5000,5,0.241221,0.209016
0.6000,5,0.243861,0.212189
0.7000,5,0.309959,0.194181
0.8000,5,0.336772,0.202092
0.9000,5,0.290878,0.207440
1.0000,5,0.320950,0.224099
2.0000,5,0.229232,0.283678
3.0000,5,0.217902,0.326348
4.0000,5,0.222592,0.321903
5.0000,5,0.274086,0.378190
10.0000,5,0.109475,0.558710
15.0000,5,0.048823,0.772515
20.0000,5,0.022306,0.804644
25.0000,5,0.011297,0.801376
30.0000,5,0.017698,0.813198
0.1000,6,-0.004051,0.241297
0.2000,6,0.062643,0.237318
0.3000,6,0.164977,0.230193
0.4000,6,0.243197,0.217406
0.5000,6,0.267457,0.214585
0.6000,6,0.260395,0.202275
0.7000,6,0.299097,0.225094
0.8000,6,0.265534,0.207544
0.9000,6,0.303785,0.214726
1.0000,6,0.270588,0.236706
2.0000,6,0.261520,0.222468
3.0000,6,0.206277,0.364108
4.0000,6,0.133134,0.566500
5.0000,6,0.198398,0.500818
10.0000,6,0.118350,0.518741
15.0000,6,0.115951,0.790039
20.0000,6,0.022326,0.826954
25.0000,6,0.027944,0.762740
30.0000,6,0.020358,0.802447
0.1000,7,0.023990,0.240919
0.2000,7,0.111345,0.237516
0.3000,7,0.153907,0.231380
0.4000,7,0.221548,0.220322
0.5000,7,0.245682,0.209768
0.6000,7,0.281908,0.213371
0.7000,7,0.294444,0.205381
0.8000,7,0.290198,0.213565
0.9000,7,0.347129,0.207148
1.0000,7,0.301992,0.217099
2.0000,7,0.239755,0.259294
3.0000,7,0.178478,0.344525
4.0000,7,0.141293,0.397047
5.0000,7,0.087491,0.552831
10.0000,7,0.128548,0.553151
15.0000,7,0.043685,0.795459
20.0000,7,0.038871,0.822546
25.0000,7,0.006552,0.789551
30.0000,7,0.013327,0.824983
0.1000,8,-0.008748,0.241352
0.2000,8,0.074887,0.239743
0.3000,8,0.213880,0.225586
0.4000,8,0.246834,0.214075
0.5000,8,0.246473,0.213276
0.6000,8,0.299292,0.207801
0.7000,8,0.246206,0.213365
0.8000,8,0.313683,0.206402
0.9000,8,0.296657,0.224610
1.0000,8,0.305080,0.220674
2.0000,8,0.207426,0.289842
3.0000,8,0.220281,0.280633
4.0000,8,0.140686,0.423154
5.0000,8,0.154992,0.424374
10.0000,8,0.176748,0.513929
15.0000,8,0.038166,0.784821
20.0000,8,0.024833,0.776119
25.0000,8,0.023263,0.781702
30.0000,8,0.012287,0.821327
0.1000,9,-0.001056,0.241809
0.2000,9,0.061797,0.239756
0.3000,9,0.212793,0.226665
0.4000,9,0.218303,0.224134
0.5000,9,0.259938,0.215778
0.6000,9,0.227583,0.204848
0.7000,9,0.279605,0.208010
0.8000,9,0.344690,0.201015
0.9000,9,0.248417,0.226604
1.0000,9,0.311553,0.213586
2.0000,9,0.177304,0.258830
3.0000,9,0.190931,0.359834
4.0000,9,0.213649,0.389908
5.0000,9,0.209218,0.452232
10.0000,9,0.126643,0.522074
15.0000,9,0.006560,0.794036
20.0000,9,0.027393,0.767213
