simulation,G1,G2,correlation,distance
1,0.1000,0.1000,0.045190,0.272871
1,0.1000,0.2000,-0.002614,0.273758
1,0.1000,0.3000,0.076439,0.271491
1,0.1000,0.4000,0.088043,0.270686
1,0.1000,0.5000,0.126612,0.270195
1,0.1000,0.6000,0.136239,0.266117
1,0.1000,0.7000,0.163524,0.265658
1,0.1000,0.8000,0.159684,0.263196
1,0.1000,0.9000,0.147605,0.262340
1,0.1000,1.0000,0.194598,0.264268
1,0.1000,2.0000,0.229447,0.254936
1,0.1000,3.0000,0.338742,0.247384
1,0.1000,4.0000,0.245276,0.249295
1,0.1000,5.0000,0.306119,0.250464
1,0.1000,10.0000,0.238004,0.274007
1,0.1000,15.0000,0.272217,0.263482
1,0.1000,20.0000,0.215566,0.266747
1,0.1000,25.0000,0.236007,0.270749
1,0.1000,30.0000,0.115091,0.330669
1,0.2000,0.1000,0.077368,0.270633
1,0.2000,0.2000,0.107930,0.269490
1,0.2000,0.3000,0.098872,0.268589
1,0.2000,0.4000,0.125804,0.266798
1,0.2000,0.5000,0.183374,0.262114
1,0.2000,0.6000,0.168241,0.259145
1,0.2000,0.7000,0.206424,0.262469
1,0.2000,0.8000,0.224831,0.258364
1,0.2000,0.9000,0.185006,0.256055
1,0.2000,1.0000,0.188055,0.259683
1,0.2000,2.0000,0.321219,0.245725
1,0.2000,3.0000,0.191936,0.255145
1,0.2000,4.0000,0.256983,0.258725
1,0.2000,5.0000,0.363303,0.243536
1,0.2000,10.0000,0.263354,0.276281
1,0.2000,15.0000,0.232808,0.261300
1,0.2000,20.0000,0.279370,0.256189
1,0.2000,25.0000,0.222639,0.277807
1,0.2000,30.0000,0.293590,0.260842
1,0.3000,0.1000,0.159140,0.262846
1,0.3000,0.2000,0.146462,0.257385
1,0.3000,0.3000,0.134036,0.263186
1,0.3000,0.4000,0.211862,0.256552
1,0.3000,0.5000,0.169780,0.257329
1,0.3000,0.6000,0.176858,0.254192
1,0.3000,0.7000,0.222416,0.258641
1,0.3000,0.8000,0.200139,0.246653
1,0.3000,0.9000,0.232579,0.247806
1,0.3000,1.0000,0.227075,0.253137
1,0.3000,2.0000,0.344519,0.245155
1,0.3000,3.0000,0.244857,0.238129
1,0.3000,4.0000,0.326817,0.255873
1,0.3000,5.0000,0.278064,0.260622
1,0.3000,10.0000,0.305424,0.267230
1,0.3000,15.0000,0.235458,0.260732
1,0.3000,20.0000,0.226671,0.292257
1,0.3000,25.0000,0.253444,0.259194
1,0.3000,30.0000,0.233204,0.280584
1,0.4000,0.1000,0.205930,0.255043
1,0.4000,0.2000,0.193521,0.251772
1,0.4000,0.3000,0.136021,0.258884
1,0.4000,0.4000,0.193794,0.250013
1,0.4000,0.5000,0.179118,0.247549
1,0.4000,0.6000,0.215828,0.243994
1,0.4000,0.7000,0.187866,0.247938
1,0.4000,0.8000,0.254836,0.240946
1,0.4000,0.9000,0.270212,0.241275
1,0.4000,1.0000,0.292567,0.241162
1,0.4000,2.0000,0.347215,0.236191
1,0.4000,3.0000,0.316514,0.240020
1,0.4000,4.0000,0.327035,0.259483
1,0.4000,5.0000,0.340237,0.244748
1,0.4000,10.0000,0.361580,0.258938
1,0.4000,15.0000,0.267790,0.259528
1,0.4000,20.0000,0.199628,0.262870
1,0.4000,25.0000,0.229526,0.267658
1,0.4000,30.0000,0.241530,0.269987
1,0.5000,0.1000,0.214655,0.250314
1,0.5000,0.2000,0.233976,0.242448
1,0.5000,0.3000,0.218763,0.243175
1,0.5000,0.4000,0.239550,0.241526
1,0.5000,0.5000,0.209093,0.239911
1,0.5000,0.6000,0.279351,0.243252
1,0.5000,0.7000,0.260545,0.240703
1,0.5000,0.8000,0.260355,0.235564
1,0.5000,0.9000,0.264501,0.227718
1,0.5000,1.0000,0.250802,0.250915
1,0.5000,2.0000,0.343572,0.227147
1,0.5000,3.0000,0.339765,0.238725
1,0.5000,4.0000,0.365180,0.239347
1,0.5000,5.0000,0.359940,0.250121
1,0.5000,10.0000,0.331312,0.264035
1,0.5000,15.0000,0.329301,0.265123
1,0.5000,20.0000,0.221634,0.271216
1,0.5000,25.0000,0.299115,0.268020
1,0.5000,30.0000,0.188194,0.279136
1,0.6000,0.1000,0.194643,0.243271
1,0.6000,0.2000,0.187100,0.244737
1,0.6000,0.3000,0.186729,0.234136
1,0.6000,0.4000,0.242061,0.222164
1,0.6000,0.5000,0.208654,0.235244
1,0.6000,0.6000,0.173617,0.241850
1,0.6000,0.7000,0.311073,0.236657
1,0.6000,0.8000,0.285153,0.227906
1,0.6000,0.9000,0.307389,0.231976
1,0.6000,1.0000,0.305735,0.236942
1,0.6000,2.0000,0.297434,0.229865
1,0.6000,3.0000,0.293380,0.258948
1,0.6000,4.0000,0.188281,0.262406
1,0.6000,5.0000,0.329291,0.245230
1,0.6000,10.0000,0.306172,0.256802
1,0.6000,15.0000,0.340833,0.243589
1,0.6000,20.0000,0.237267,0.273178
1,0.6000,25.0000,0.256547,0.266250
1,0.6000,30.0000,0.328323,0.261132
1,0.7000,0.1000,0.236164,0.233033
1,0.7000,0.2000,0.228078,0.235666
1,0.7000,0.3000,0.215825,0.245031
1,0.7000,0.4000,0.224380,0.233504
1,0.7000,0.5000,0.292427,0.226999
1,0.7000,0.6000,0.269377,0.241718
1,0.7000,0.7000,0.275222,0.226664
1,0.7000,0.8000,0.278758,0.227103
1,0.7000,0.9000,0.238994,0.248031
1,0.7000,1.0000,0.286738,0.219756
1,0.7000,2.0000,0.330232,0.239246
1,0.7000,3.0000,0.348905,0.241793
1,0.7000,4.0000,0.378787,0.217011
1,0.7000,5.0000,0.333245,0.232672
1,0.7000,10.0000,0.367245,0.243262
1,0.7000,15.0000,0.365982,0.238170
1,0.7000,20.0000,0.219096,0.279467
1,0.7000,25.0000,0.247080,0.263047
1,0.7000,30.0000,0.260741,0.263458
1,0.8000,0.1000,0.207480,0.233893
1,0.8000,0.2000,0.211601,0.226672
1,0.8000,0.3000,0.258499,0.218907
1,0.8000,0.4000,0.287810,0.244132
1,0.8000,0.5000,0.198486,0.240144
1,0.8000,0.6000,0.285070,0.250553
1,0.8000,0.7000,0.188975,0.237533
1,0.8000,0.8000,0.295133,0.233241
1,0.8000,0.9000,0.270604,0.227746
1,0.8000,1.0000,0.294696,0.234569
1,0.8000,2.0000,0.290783,0.233345
1,0.8000,3.0000,0.318722,0.238692
1,0.8000,4.0000,0.404416,0.236129
1,0.8000,5.0000,0.277186,0.264680
1,0.8000,10.0000,0.263861,0.256235
1,0.8000,15.0000,0.274235,0.258934
1,0.8000,20.0000,0.335500,0.235315
1,0.8000,25.0000,0.336257,0.240488
1,0.8000,30.0000,0.340717,0.244174
1,0.9000,0.1000,0.241099,0.229327
1,0.9000,0.2000,0.286398,0.226516
1,0.9000,0.3000,0.254241,0.240627
1,0.9000,0.4000,0.213964,0.267633
1,0.9000,0.5000,0.201042,0.232227
1,0.9000,0.6000,0.232505,0.232684
1,0.9000,0.7000,0.226577,0.244959
1,0.9000,0.8000,0.260844,0.224007
1,0.9000,0.9000,0.269166,0.236820
1,0.9000,1.0000,0.325439,0.235179
1,0.9000,2.0000,0.280227,0.226549
1,0.9000,3.0000,0.353842,0.244601
1,0.9000,4.0000,0.234061,0.271014
1,0.9000,5.0000,0.193327,0.261870
1,0.9000,10.0000,0.368143,0.247209
1,0.9000,15.0000,0.331141,0.250105
1,0.9000,20.0000,0.367033,0.240272
1,0.9000,25.0000,0.253499,0.273649
1,0.9000,30.0000,0.249830,0.264204
1,1.0000,0.1000,0.210068,0.243541
1,1.0000,0.2000,0.251875,0.242404
1,1.0000,0.3000,0.250665,0.240653
1,1.0000,0.4000,0.279017,0.236285
1,1.0000,0.5000,0.270218,0.248453
1,1.0000,0.6000,0.293604,0.243149
1,1.0000,0.7000,0.284802,0.236981
1,1.0000,0.8000,0.297503,0.239042
1,1.0000,0.9000,0.272858,0.247551
1,1.0000,1.0000,0.373455,0.226716
1,1.0000,2.0000,0.280287,0.245966
1,1.0000,3.0000,0.325423,0.242621
1,1.0000,4.0000,0.328332,0.225619
1,1.0000,5.0000,0.258232,0.267526
1,1.0000,10.0000,0.359753,0.253815
1,1.0000,15.0000,0.345954,0.239204
1,1.0000,20.0000,0.343034,0.272867
1,1.0000,25.0000,0.258135,0.277996
1,1.0000,30.0000,0.313646,0.272185
1,2.0000,0.1000,0.172135,0.280023
1,2.0000,0.2000,0.164184,0.273202
1,2.0000,0.3000,0.247456,0.256856
1,2.0000,0.4000,0.211629,0.233079
1,2.0000,0.5000,0.199977,0.238459
1,2.0000,0.6000,0.080791,0.301766
1,2.0000,0.7000,0.244765,0.231461
1,2.0000,0.8000,0.245345,0.221825
1,2.0000,0.9000,0.244355,0.230248
1,2.0000,1.0000,0.193297,0.248356
1,2.0000,2.0000,0.210560,0.255949
1,2.0000,3.0000,0.262160,0.232654
1,2.0000,4.0000,0.221903,0.280146
1,2.0000,5.0000,0.238796,0.246235
1,2.0000,10.0000,0.407346,0.227357
1,2.0000,15.0000,0.349611,0.246763
1,2.0000,20.0000,0.240060,0.289058
1,2.0000,25.0000,0.364666,0.235739
1,2.0000,30.0000,0.291988,0.253906
1,3.0000,0.1000,0.120951,0.339930
1,3.0000,0.2000,0.119733,0.386130
1,3.0000,0.3000,0.121190,0.383783
1,3.0000,0.4000,0.157865,0.287933
1,3.0000,0.5000,0.115968,0.342536
1,3.0000,0.6000,0.146053,0.322175
1,3.0000,0.7000,0.075178,0.401806
1,3.0000,0.8000,0.116532,0.331253
1,3.0000,0.9000,0.203181,0.266217
1,3.0000,1.0000,0.179345,0.295461
1,3.0000,2.0000,0.140689,0.373904
1,3.0000,3.0000,0.192619,0.327832
1,3.0000,4.0000,0.145869,0.309155
1,3.0000,5.0000,0.106125,0.497527
1,3.0000,10.0000,0.168031,0.321234
1,3.0000,15.0000,0.231900,0.287837
1,3.0000,20.0000,0.297211,0.291655
1,3.0000,25.0000,0.301118,0.278552
1,3.0000,30.0000,0.314535,0.282955
1,4.0000,0.1000,0.141077,0.343495
1,4.0000,0.2000,0.113903,0.428232
1,4.0000,0.3000,0.119621,0.398980
1,4.0000,0.4000,0.107160,0.405942
1,4.0000,0.5000,0.099754,0.393879
1,4.0000,0.6000,0.142850,0.312396
1,4.0000,0.7000,0.153961,0.347786
1,4.0000,0.8000,0.173073,0.301441
1,4.0000,0.9000,0.172391,0.338968
1,4.0000,1.0000,0.164031,0.375376
1,4.0000,2.0000,0.142888,0.538081
1,4.0000,3.0000,0.083291,0.409581
1,4.0000,4.0000,0.140453,0.356280
1,4.0000,5.0000,0.111276,0.393498
1,4.0000,10.0000,0.222926,0.330012
1,4.0000,15.0000,0.205880,0.333184
1,4.0000,20.0000,0.162678,0.358971
1,4.0000,25.0000,0.202186,0.322892
1,4.0000,30.0000,0.184601,0.340157
1,5.0000,0.1000,0.139449,0.333196
1,5.0000,0.2000,0.123075,0.341387
1,5.0000,0.3000,0.131038,0.376626
1,5.0000,0.4000,0.138890,0.367429
1,5.0000,0.5000,0.146486,0.336595
1,5.0000,0.6000,0.157127,0.361066
1,5.0000,0.7000,0.135056,0.371799
1,5.0000,0.8000,0.127002,0.375255
1,5.0000,0.9000,0.178980,0.302598
1,5.0000,1.0000,0.063896,0.477864
1,5.0000,2.0000,0.092550,0.480200
1,5.0000,3.0000,0.131371,0.375015
1,5.0000,4.0000,0.114924,0.422453
1,5.0000,5.0000,0.064844,0.506248
1,5.0000,10.0000,0.069937,0.499436
1,5.0000,15.0000,0.110378,0.560878
1,5.0000,20.0000,0.106831,0.435697
1,5.0000,25.0000,0.139115,0.362528
1,5.0000,30.0000,0.139025,0.406039
1,10.0000,0.1000,0.132887,0.381409
1,10.0000,0.2000,0.138123,0.455791
1,10.0000,0.3000,0.143661,0.394348
1,10.0000,0.4000,0.111808,0.473048
1,10.0000,0.5000,0.113214,0.440006
1,10.0000,0.6000,0.124344,0.425385
1,10.0000,0.7000,0.083966,0.411404
1,10.0000,0.8000,0.113640,0.405686
1,10.0000,0.9000,0.138293,0.331914
1,10.0000,1.0000,0.110683,0.412273
1,10.0000,2.0000,0.099096,0.411058
1,10.0000,3.0000,0.262691,0.448955
1,10.0000,4.0000,0.070394,0.504678
1,10.0000,5.0000,0.018458,0.552131
1,10.0000,10.0000,0.073337,0.492906
1,10.0000,15.0000,0.023489,0.579610
1,10.0000,20.0000,0.085150,0.496573
1,10.0000,25.0000,0.074235,0.517846
1,10.0000,30.0000,0.166224,0.538854
1,15.0000,0.1000,0.070014,0.520901
1,15.0000,0.2000,0.080072,0.549974
1,15.0000,0.3000,0.073346,0.511373
1,15.0000,0.4000,0.085939,0.538797
1,15.0000,0.5000,0.120947,0.455718
1,15.0000,0.6000,0.092812,0.523791
1,15.0000,0.7000,0.081968,0.561523
1,15.0000,0.8000,0.090815,0.541130
1,15.0000,0.9000,0.102701,0.658792
1,15.0000,1.0000,0.094562,0.492261
1,15.0000,2.0000,-0.013884,0.664242
1,15.0000,3.0000,-0.026436,0.777207
1,15.0000,4.0000,0.126538,0.748169
1,15.0000,5.0000,0.093635,0.741292
1,15.0000,10.0000,0.016943,0.704270
1,15.0000,15.0000,-0.023510,0.741717
1,15.0000,20.0000,0.054326,0.758314
1,15.0000,25.0000,0.065043,0.752742
1,15.0000,30.0000,0.017177,0.704704
1,20.0000,0.1000,0.068623,0.526523
1,20.0000,0.2000,0.067262,0.558549
1,20.0000,0.3000,0.078140,0.555142
1,20.0000,0.4000,0.069856,0.540146
1,20.0000,0.5000,0.069555,0.545207
1,20.0000,0.6000,0.079073,0.574274
1,20.0000,0.7000,0.063100,0.528917
1,20.0000,0.8000,0.076320,0.535218
1,20.0000,0.9000,0.094394,0.619767
1,20.0000,1.0000,0.077473,0.577883
1,20.0000,2.0000,0.004267,0.754925
1,20.0000,3.0000,-0.048295,0.749999
1,20.0000,4.0000,0.048804,0.794310
1,20.0000,5.0000,0.001415,0.776306
