simulation,G1,G2,correlation,distance
1,0.1000,0.1000,0.034369,0.241069
1,0.1000,0.2000,0.007063,0.240951
1,0.1000,0.3000,0.064629,0.238501
1,0.1000,0.4000,0.105979,0.238071
1,0.1000,0.5000,0.107186,0.236046
1,0.1000,0.6000,0.110877,0.237143
1,0.1000,0.7000,0.165688,0.234188
1,0.1000,0.8000,0.174103,0.233593
1,0.1000,0.9000,0.171296,0.230800
1,0.1000,1.0000,0.214197,0.229165
1,0.1000,2.0000,0.243445,0.222515
1,0.1000,3.0000,0.297181,0.223097
1,0.1000,4.0000,0.337442,0.220284
1,0.1000,5.0000,0.375583,0.223657
1,0.1000,10.0000,0.361463,0.225372
1,0.1000,15.0000,0.381342,0.252808
1,0.1000,20.0000,0.380836,0.247584
1,0.1000,25.0000,0.341315,0.230637
1,0.1000,30.0000,0.344588,0.232372
1,0.2000,0.1000,0.029284,0.239276
1,0.2000,0.2000,0.079619,0.237155
1,0.2000,0.3000,0.078417,0.236843
1,0.2000,0.4000,0.101978,0.236182
1,0.2000,0.5000,0.166456,0.231118
1,0.2000,0.6000,0.194878,0.231707
1,0.2000,0.7000,0.189667,0.229843
1,0.2000,0.8000,0.204571,0.228426
1,0.2000,0.9000,0.245371,0.226027
1,0.2000,1.0000,0.285892,0.220150
1,0.2000,2.0000,0.325408,0.215510
1,0.2000,3.0000,0.411152,0.213602
1,0.2000,4.0000,0.381432,0.209020
1,0.2000,5.0000,0.322430,0.223245
1,0.2000,10.0000,0.409696,0.220264
1,0.2000,15.0000,0.367636,0.235453
1,0.2000,20.0000,0.320152,0.223439
1,0.2000,25.0000,0.297480,0.250315
1,0.2000,30.0000,0.361208,0.226029
1,0.3000,0.1000,0.118425,0.235326
1,0.3000,0.2000,0.107749,0.235103
1,0.3000,0.3000,0.192183,0.230813
1,0.3000,0.4000,0.208909,0.230192
1,0.3000,0.5000,0.204311,0.222665
1,0.3000,0.6000,0.211784,0.225918
1,0.3000,0.7000,0.231269,0.221955
1,0.3000,0.8000,0.262725,0.225029
1,0.3000,0.9000,0.256347,0.211374
1,0.3000,1.0000,0.233085,0.216506
1,0.3000,2.0000,0.291756,0.212164
1,0.3000,3.0000,0.398267,0.213759
1,0.3000,4.0000,0.389675,0.206259
1,0.3000,5.0000,0.366497,0.219321
1,0.3000,10.0000,0.343525,0.230868
1,0.3000,15.0000,0.375930,0.224384
1,0.3000,20.0000,0.332517,0.234272
1,0.3000,25.0000,0.345082,0.241738
1,0.3000,30.0000,0.295414,0.262121
1,0.4000,0.1000,0.156774,0.230760
1,0.4000,0.2000,0.202231,0.231172
1,0.4000,0.3000,0.215325,0.221568
1,0.4000,0.4000,0.273938,0.208211
1,0.4000,0.5000,0.256558,0.222976
1,0.4000,0.6000,0.263688,0.214300
1,0.4000,0.7000,0.250752,0.213211
1,0.4000,0.8000,0.313485,0.212235
1,0.4000,0.9000,0.319371,0.211532
1,0.4000,1.0000,0.302259,0.211964
1,0.4000,2.0000,0.317745,0.216280
1,0.4000,3.0000,0.254922,0.225760
1,0.4000,4.0000,0.323131,0.215813
1,0.4000,5.0000,0.236203,0.275818
1,0.4000,10.0000,0.413271,0.226901
1,0.4000,15.0000,0.419696,0.217235
1,0.4000,20.0000,0.353643,0.220060
1,0.4000,25.0000,0.379158,0.234392
1,0.4000,30.0000,0.234837,0.263646
1,0.5000,0.1000,0.211709,0.224847
1,0.5000,0.2000,0.210250,0.223734
1,0.5000,0.3000,0.205749,0.219483
1,0.5000,0.4000,0.267508,0.217115
1,0.5000,0.5000,0.247990,0.201568
1,0.5000,0.6000,0.227372,0.219604
1,0.5000,0.7000,0.201683,0.213606
1,0.5000,0.8000,0.266525,0.202376
1,0.5000,0.9000,0.327928,0.204094
1,0.5000,1.0000,0.256196,0.216478
1,0.5000,2.0000,0.352440,0.201356
1,0.5000,3.0000,0.349327,0.215492
1,0.5000,4.0000,0.407873,0.205914
1,0.5000,5.0000,0.333280,0.226278
1,0.5000,10.0000,0.394252,0.235468
1,0.5000,15.0000,0.370324,0.272001
1,0.5000,20.0000,0.358941,0.229719
1,0.5000,25.0000,0.375175,0.230886
1,0.5000,30.0000,0.222946,0.311192
1,0.6000,0.1000,0.212043,0.222367
1,0.6000,0.2000,0.250125,0.215760
1,0.6000,0.3000,0.255841,0.211597
1,0.6000,0.4000,0.317206,0.204069
1,0.6000,0.5000,0.294266,0.195299
1,0.6000,0.6000,0.317282,0.201172
1,0.6000,0.7000,0.278108,0.204018
1,0.6000,0.8000,0.363361,0.209711
1,0.6000,0.9000,0.268043,0.206169
1,0.6000,1.0000,0.399241,0.202372
1,0.6000,2.0000,0.378596,0.200253
1,0.6000,3.0000,0.384625,0.196699
1,0.6000,4.0000,0.292092,0.229990
1,0.6000,5.0000,0.358186,0.226741
1,0.6000,10.0000,0.390310,0.219128
1,0.6000,15.0000,0.427771,0.209281
1,0.6000,20.0000,0.410505,0.222423
1,0.6000,25.0000,0.370574,0.226041
1,0.6000,30.0000,0.405642,0.220709
1,0.7000,0.1000,0.247782,0.213212
1,0.7000,0.2000,0.297093,0.199134
1,0.7000,0.3000,0.292589,0.204277
1,0.7000,0.4000,0.224056,0.209547
1,0.7000,0.5000,0.227059,0.214656
1,0.7000,0.6000,0.300460,0.195720
1,0.7000,0.7000,0.340881,0.188905
1,0.7000,0.8000,0.287924,0.201600
1,0.7000,0.9000,0.273332,0.206546
1,0.7000,1.0000,0.345196,0.191674
1,0.7000,2.0000,0.335762,0.204798
1,0.7000,3.0000,0.437224,0.208863
1,0.7000,4.0000,0.395650,0.214853
1,0.7000,5.0000,0.317314,0.222561
1,0.7000,10.0000,0.408136,0.235828
1,0.7000,15.0000,0.411251,0.235055
1,0.7000,20.0000,0.414755,0.225293
1,0.7000,25.0000,0.394166,0.225118
1,0.7000,30.0000,0.305065,0.261930
1,0.8000,0.1000,0.226099,0.213581
1,0.8000,0.2000,0.250960,0.213187
1,0.8000,0.3000,0.230967,0.219017
1,0.8000,0.4000,0.272560,0.207030
1,0.8000,0.5000,0.307018,0.199383
1,0.8000,0.6000,0.255644,0.211767
1,0.8000,0.7000,0.310578,0.204648
1,0.8000,0.8000,0.365986,0.197635
1,0.8000,0.9000,0.217022,0.215168
1,0.8000,1.0000,0.316041,0.197772
1,0.8000,2.0000,0.338501,0.209655
1,0.8000,3.0000,0.406851,0.203377
1,0.8000,4.0000,0.385347,0.201572
1,0.8000,5.0000,0.336368,0.236135
1,0.8000,10.0000,0.329538,0.236940
1,0.8000,15.0000,0.398193,0.226909
1,0.8000,20.0000,0.422856,0.223751
1,0.8000,25.0000,0.374837,0.222459
1,0.8000,30.0000,0.351483,0.235371
1,0.9000,0.1000,0.235358,0.208084
1,0.9000,0.2000,0.292733,0.216648
1,0.9000,0.3000,0.285775,0.206570
1,0.9000,0.4000,0.252955,0.208256
1,0.9000,0.5000,0.291593,0.208156
1,0.9000,0.6000,0.285150,0.221028
1,0.9000,0.7000,0.296228,0.199417
1,0.9000,0.8000,0.335897,0.204310
1,0.9000,0.9000,0.287501,0.222438
1,0.9000,1.0000,0.202718,0.248593
1,0.9000,2.0000,0.305896,0.219327
1,0.9000,3.0000,0.377312,0.213807
1,0.9000,4.0000,0.266753,0.260247
1,0.9000,5.0000,0.393489,0.206542
1,0.9000,10.0000,0.413622,0.220521
1,0.9000,15.0000,0.416379,0.233938
1,0.9000,20.0000,0.376490,0.211907
1,0.9000,25.0000,0.384337,0.220846
1,0.9000,30.0000,0.355126,0.250364
1,1.0000,0.1000,0.244403,0.216565
1,1.0000,0.2000,0.261255,0.213265
1,1.0000,0.3000,0.262654,0.221883
1,1.0000,0.4000,0.215550,0.224557
1,1.0000,0.5000,0.276028,0.245487
1,1.0000,0.6000,0.291325,0.212450
1,1.0000,0.7000,0.280962,0.213818
1,1.0000,0.8000,0.320669,0.210370
1,1.0000,0.9000,0.268780,0.227667
1,1.0000,1.0000,0.354178,0.197049
1,1.0000,2.0000,0.374888,0.215950
1,1.0000,3.0000,0.350007,0.210716
1,1.0000,4.0000,0.355500,0.218854
1,1.0000,5.0000,0.384866,0.226913
1,1.0000,10.0000,0.425650,0.213499
1,1.0000,15.0000,0.392462,0.232800
1,1.0000,20.0000,0.342377,0.247281
1,1.0000,25.0000,0.390848,0.220691
1,1.0000,30.0000,0.291058,0.255469
1,2.0000,0.1000,0.215356,0.233146
1,2.0000,0.2000,0.249745,0.242441
1,2.0000,0.3000,0.200289,0.247424
1,2.0000,0.4000,0.201870,0.245084
1,2.0000,0.5000,0.181464,0.251834
1,2.0000,0.6000,0.242277,0.232485
1,2.0000,0.7000,0.265387,0.218599
1,2.0000,0.8000,0.253841,0.233092
1,2.0000,0.9000,0.208808,0.269470
1,2.0000,1.0000,0.195514,0.262677
1,2.0000,2.0000,0.222318,0.242045
1,2.0000,3.0000,0.240208,0.257629
1,2.0000,4.0000,0.285201,0.243708
1,2.0000,5.0000,0.292881,0.260259
1,2.0000,10.0000,0.381942,0.227090
1,2.0000,15.0000,0.369802,0.275746
1,2.0000,20.0000,0.433920,0.252094
1,2.0000,25.0000,0.278380,0.271922
1,2.0000,30.0000,0.331796,0.263107
1,3.0000,0.1000,0.130819,0.340070
1,3.0000,0.2000,0.163268,0.289967
1,3.0000,0.3000,0.186739,0.315573
1,3.0000,0.4000,0.148379,0.331910
1,3.0000,0.5000,0.199867,0.265561
1,3.0000,0.6000,0.136736,0.307906
1,3.0000,0.7000,0.135881,0.426265
1,3.0000,0.8000,0.214903,0.315530
1,3.0000,0.9000,0.232292,0.330151
1,3.0000,1.0000,0.254124,0.279153
1,3.0000,2.0000,0.136574,0.375817
1,3.0000,3.0000,0.170788,0.390148
1,3.0000,4.0000,0.346968,0.280825
1,3.0000,5.0000,0.207055,0.298832
1,3.0000,10.0000,0.278968,0.417877
1,3.0000,15.0000,0.358446,0.247301
1,3.0000,20.0000,0.355865,0.253444
1,3.0000,25.0000,0.403018,0.259731
1,3.0000,30.0000,0.380265,0.249569
1,4.0000,0.1000,0.107561,0.433684
1,4.0000,0.2000,0.117231,0.424536
1,4.0000,0.3000,0.132508,0.369533
1,4.0000,0.4000,0.127583,0.371718
1,4.0000,0.5000,0.151800,0.399932
1,4.0000,0.6000,0.140920,0.379668
1,4.0000,0.7000,0.117501,0.384625
1,4.0000,0.8000,0.133302,0.494623
1,4.0000,0.9000,0.152030,0.543106
1,4.0000,1.0000,0.191716,0.349632
1,4.0000,2.0000,0.164778,0.444249
1,4.0000,3.0000,0.171433,0.341685
1,4.0000,4.0000,0.216951,0.443042
1,4.0000,5.0000,0.129677,0.513330
1,4.0000,10.0000,0.123946,0.433084
1,4.0000,15.0000,0.225232,0.314529
1,4.0000,20.0000,0.236992,0.324540
1,4.0000,25.0000,0.338861,0.291157
1,4.0000,30.0000,0.274858,0.316086
1,5.0000,0.1000,0.112927,0.396010
1,5.0000,0.2000,0.081141,0.480242
1,5.0000,0.3000,0.130994,0.431777
1,5.0000,0.4000,0.116940,0.383864
1,5.0000,0.5000,0.091409,0.435823
1,5.0000,0.6000,0.152770,0.388631
1,5.0000,0.7000,0.135560,0.358560
1,5.0000,0.8000,0.079137,0.435339
1,5.0000,0.9000,0.131442,0.431251
1,5.0000,1.0000,0.135198,0.400992
1,5.0000,2.0000,0.129142,0.455724
1,5.0000,3.0000,0.089479,0.670960
1,5.0000,4.0000,0.213420,0.574274
1,5.0000,5.0000,0.099701,0.516509
